Doug LaMalfa,A,1,I,R,http://www.ontheissues.org/CA/Doug_LaMalfa.htm
Jared Huffman,F,2,I,D,http://www.ontheissues.org/CA/Jared_Huffman.htm
John Garamendi,F,3,I,D,http://www.ontheissues.org/CA/John_Garamendi.htm
Tom McClintock,A,4,I,R,http://www.ontheissues.org/Tom_McClintock.htm
Mike Thompson,F,5,I,D,http://www.ontheissues.org/CA/Mike_Thompson.htm
<<<<<<< HEAD
Doris Matsui ,F,6,I,D,http://www.ontheissues.org/CA/Doris_Matsui.htm
=======
Doris Matsui,F,6,I,D,rhttp://www.ontheissues.org/CA/Doris_Matsui.htm
>>>>>>> 1c59211db19ceadd5a74e50d73d90b3e05cc931e
Ami Bera,F,7,I,D,http://www.ontheissues.org/CA/Ami_Bera.htm
Paul Cook,N,8,I,R,http://www.ontheissues.org/CA/Paul_Cook.htm
Jerry McNerney,F,9,I,D,http://www.ontheissues.org/CA/Jerry_McNerney.htm
Jeff Denham,A,10,I,R,http://www.ontheissues.org/CA/Jeff_Denham.htm
<<<<<<< HEAD
Mark DeSaulnier ,F,11,I,D,http://www.ontheissues.org/CA/Mark_DeSaulnier.htm
=======
Mark DeSaulnier,F,11,I,D,http://www.ontheissues.org/CA/Mark_DeSaulnier.htm
>>>>>>> 1c59211db19ceadd5a74e50d73d90b3e05cc931e
Nancy Pelosi,F,12,I,D,http://www.ontheissues.org/CA/Nancy_Pelosi.htm
Barbara Lee,F,13,I,D,http://www.ontheissues.org/CA/Barbara_Lee.htm
Jackie Speier,F,14,I,D,http://www.ontheissues.org/CA/Jackie_Speier.htm
Eric Swalwell,F,15,I,D,http://www.ontheissues.org/CA/Eric_Swalwell.htm
<<<<<<< HEAD
Jim Costa,F,16,I,D,http://www.ontheissues.org/CA/Jim_Costa.htm
 Ro Khanna,F,17,I,D,https://www.congress.gov/member/ro-khanna/K000389
Anna Eshoo,F,18,I,D,http://www.ontheissues.org/CA/Anna_Eshoo.htm
Zoe Lofgren,F,19,I,D,http://www.ontheissues.org/CA/Zoe_Lofgren.htm
Jimmy Panetta,F,20,I,D,https://panetta.house.gov/biography
David Valadao,A,21,I,R,http://www.ontheissues.org/CA/David_Valadao.htm
Devin Nunes,A,22,I,R,http://www.ontheissues.org/CA/Devin_Nunes.htm
Kevin McCarthy,A,23,I,R,http://www.ontheissues.org/CA/Kevin_McCarthy.htm
 Salud Carbajal,F,24,I,R,http://climatehawksvote.com/candidate/salud-carbajal/
Steve Knight,A,25,I,R,http://www.ontheissues.org/CA/Steve_Knight.htm
Julia Brownley,F,26,I,D,http://www.ontheissues.org/CA/Julia_Brownley.htm
Judy Chu,F,27,I,D,http://www.ontheissues.org/CA/Judy_Chu.htm
Adam Schiff,F,28,I,D,http://www.ontheissues.org/CA/Adam_Schiff.htm
Tony Cárdenas,F,29,I,D,http://www.ontheissues.org/CA/Tony_Cardenas.htm
Brad Sherman,F,30,I,D,http://www.ontheissues.org/CA/Brad_Sherman.htm
Pete Aguilar,F,31,I,D,http://www.ontheissues.org/CA/Pete_Aguilar.htm
Grace Napolitano,F,32,I,D,http://www.ontheissues.org/CA/Grace_Napolitano.htm
Ted Lieu,F,33,I,D,http://www.ontheissues.org/CA/Ted_Lieu.htm
Vacant,X,34,X,X,X
Norma Torres,F,35,I,D,http://www.ontheissues.org/CA/Norma_Torres.htm
Raul Ruiz,F,36,I,D,http://www.ontheissues.org/CA/Raul_Ruiz.htm
Karen Bass,F,37,I,D,http://www.ontheissues.org/CA/Karen_Bass.htm
Linda Sánchez,F,38,I,D,http://www.ontheissues.org/CA/Linda_Sanchez.htm
Ed Royce,A,39,I,R,http://www.ontheissues.org/CA/Ed_Royce.htm
Lucille Roybal-Allard,F,40,I,D,http://www.ontheissues.org/CA/Lucille_Roybal-Allard.htm
 Mark Takano,F,41,I,D,http://www.ontheissues.org/CA/Mark_Takano.htm
 Ken Calvert,A,42,I,R,http://www.ontheissues.org/CA/Ken_Calvert.htm
Maxine Waters,F,43,I,D,http://www.ontheissues.org/CA/Maxine_Waters.htm
Nanette Barragán,F,44,I,D,http://climatehawksvote.com/candidate/nanette-barragan/
Mimi Walters,A,45,I,R,http://www.ontheissues.org/CA/Mimi_Walters.htm
Lou Correa,F,46,I,D,http://www.loucorrea.com/
 Alan Lowenthal,F,47,I,D,http://www.ontheissues.org/CA/Alan_Lowenthal.htm
Dana Rohrabacher,A,48,I,R,http://www.ontheissues.org/CA/Dana_Rohrabacher.htm
Darrell Issa,A,49,I,R,http://www.ontheissues.org/CA/Darrell_Issa.htm
Duncan D. Hunter,A,50,I,R,http://www.ontheissues.org/CA/Duncan_Hunter_Jr_.htm
Juan Vargas,F,51,I,D,http://www.ontheissues.org/CA/Juan_Vargas.htm
Scott Peters,F,52,I,D,http://www.ontheissues.org/CA/Scott_Peters.htm
Susan Davis,F,53,I,D,http://www.ontheissues.org/CA/Susan_Davis.htm
=======
>>>>>>> 1c59211db19ceadd5a74e50d73d90b3e05cc931e
